,csr,description,address,privilege_mode
0,CSR_DCSR,Debug control and status register,0x7b0,D
1,CSR_DPC,Debug PC,0x7b1,D
2,CSR_DSCRATCH0,Optional scratch register,0x7b2,D
3,CSR_DSCRATCH1,Debug scratch register 1,0x7b3,D
4,CSR_SSTATUS,Supervisor status register,0x100,S
5,CSR_SIE,Supervisor Interrupt enable register,0x104,S
6,CSR_SIP,Supervisor interrupt pending,0x144,S
7,CSR_STVEC,Supervisor trap handler base address,0x105,S
8,CSR_SCOUNTEREN,Supervisor counter enable,0x106,S
9,CSR_SSCRATCH,Scartch Register for supervisor trap handlers,0x140,S
10,CSR_SEPC,Supervisor exception program counter,0x141,S
11,CSR_SCAUSE,Supervisor trap cause,0x142,S
12,CSR_STVAL,Supervisor bad address or instruction,0x143,S
13,CSR_SATP,Supervisor address translation and protection,0x180,S
14,CSR_MSTATUS,Machine Status Register,0x300,M
15,CSR_MISA,ISA and extensions,0x301,M
16,CSR_MEDELEG,Machine exception delegation register,0x302,M
17,CSR_MIDELEG,Machine interrupt delegation register,0x303,M
18,CSR_MIE,Machine Interrupt enable register,0x304,M
19,CSR_MTVEC,Machine trap-handler base address,0x305,M
20,CSR_MCOUNTEREN,Machine counter enable,0x306,M
21,CSR_MSCRATCH,Scratch register for machine trap handlers,0x340,M
22,CSR_MEPC,Machine exception program counter,0x341,M
23,CSR_MCAUSE,Machine Trap cause,0x342,M
24,CSR_MTVAL,Machine bad address or Instruction,0x343,M
25,CSR_MIP,Machine Interrupt Pending,0x344,M
26,CSR_MVENDORID,Vendor ID,0xf11,M
27,CSR_MARCHID,Architecture ID,0xf12,M
28,CSR_MIMPID,Implementation ID,0xf13,M
29,CSR_MHARTID,Hardware Thread ID,0xf14,M
30,CSR_MCYCLE,Machine Cycle counter,0xb00,M
31,CSR_MCYCLE_H,"Upper 32 bits of mcycle,RV32I only",0xb80,M
32,CSR_MINSTRET,Machine Instruction retired counter,0xb02,M
33,CSR_MINSTRET_H,"Upper 32 bits of minstret,RV32I only",0xb82,M
34,CSR_GPC1,GPC1-Lower 32 bits,0xb03,M
35,CSR_GPC1H,GPC1-Upper 32 bits,0xb83,M
36,CSR_GPC2,GPC2-Lower 32 bits,0xb04,M
37,CSR_GPC2H,GPC2-Upper 32 bits,0xb84,M
38,CSR_GPC3,GPC3-Lower 32 bits,0xb05,M
39,CSR_GPC3H,GPC3-Upper 32 bits,0xb85,M
40,CSR_GPC4,GPC4-Lower 32 bits,0xb06,M
41,CSR_GPC4H,GPC4-Upper 32 bits,0xb86,M
42,CSR_GPC5,GPC5-Lower 32 bits,0xb07,M
43,CSR_GPC5H,GPC5-Upper 32 bits,0xb87,M
44,CSR_GPC6,GPC6-Lower 32 bits,0xb08,M
45,CSR_GPC6H,GPC6-Upper 32 bits,0xb88,M
46,CSR_GPC1_PMES,Machine performance-monitoring event selector,0x323,M
47,CSR_GPC2_PMES,Machine performance-monitoring event selector,0x324,M
48,CSR_GPC3_PMES,Machine performance-monitoring event selector,0x325,M
49,CSR_GPC4_PMES,Machine performance-monitoring event selector,0x326,M
50,CSR_GPC5_PMES,Machine performance-monitoring event selector,0x327,M
51,CSR_GPC6_PMES,Machine performance-monitoring event selector,0x328,M
52,CSR_ICACHE,Custom Register to enable/disable for Icache [bit 0]  ,0x7c0,M
53,CSR_DCACHE,Custom Register to enable/disable for Dcache [bit 0],0x7c1,M
54,CSR_PMPCFG0,Physical Memory Protection CSRs,0x3a0,M
55,CSR_PMPCFG1,Physical Memory Protection CSRs,0x3a1,M
56,CSR_PMPCFG2,Physical Memory Protection CSRs,0x3a2,M
57,CSR_PMPCFG3,Physical Memory Protection CSRs,0x3a3,M
58,CSR_PMPADDR0,PMP address registers,0x3b0,M
59,CSR_PMPADDR1,PMP address registers,0x3b1,M
60,CSR_PMPADDR2,PMP address registers,0x3b2,M
61,CSR_PMPADDR3,PMP address registers,0x3b3,M
62,CSR_PMPADDR4,PMP address registers,0x3b4,M
63,CSR_PMPADDR5,PMP address registers,0x3b5,M
64,CSR_PMPADDR6,PMP address registers,0x3b6,M
65,CSR_PMPADDR7,PMP address registers,0x3b7,M
66,CSR_PMPADDR8,PMP address registers,0x3b8,M
67,CSR_PMPADDR9,PMP address registers,0x3b9,M
68,CSR_PMPADDR10,PMP address registers,0x3ba,M
69,CSR_PMPADDR11,PMP address registers,0x3bb,M
70,CSR_PMPADDR12,PMP address registers,0x3bc,M
71,CSR_PMPADDR13,PMP address registers,0x3bd,M
72,CSR_PMPADDR14,PMP address registers,0x3be,M
73,CSR_PMPADDR15,PMP address registers,0x3bf,M
74,CSR_FFLAGS,Floating point Accrued Exceptions,0x1,U
75,CSR_FRM,Floating point dynamic rounding mode,0x2,U
76,CSR_FCSR,Floating point Control and Status Register,0x3,U
77,CSR_FTRAN,Floating Point Custom CSR,0x800,U
78,CSR_CYCLE,Cycle counter for RDCYCLE instruction,0xc00,U
79,CSR_CYCLE_H,Upper 32 bits RDCYCLE,0xc80,U
80,CSR_INSTRET,Instructions-retired counter for RDINSTRET instruction,0xc02,U
81,CSR_INSTRET_H,Upper 32 bits RDINSTRET,0xc82,U


CSR : ,CSR_DCSR
CSR Address : ,0x7b0
Reset Value : , 
Bit#,Mode,Description
31:28,R,"0(No debug support), 4(Debug support exists), 15(there is debug support, but it doesnt conform to any available version)"
15:15,RW,0: ebreak instructions in M-mode behave as described in the Privileged Spec.1: ebreak instructions in M-mode enter Debug Mode.
13:13,RW,0: ebreak instructions in S-mode behave as described in the Privileged Spec.1: ebreak instructions in S-mode enter Debug Mode.
12:12,RW,0: ebreak instructions in U-mode behave as described in the Privileged Spec. 1: ebreak instructions in U-mode enter Debug
11:11,WARL,(0) Interrupts (including NMI) are disabled during single stepping. (1) Interrupts (including NMI) are enabled during single stepping.
10:10,WARL,(0) Increment counters as usual. (1) increment any hart-local counters while in Debug Mode or on ebreak instructions that cause entry into Debug Mode.
9:9,WARL,(0) Increment timers as usual. (1) increment any hart-local timers while in Debug Mode.
8:6,RW,Explains why Debug Mode was entered
4:4,WARL,(0) MPRV in mstatus is ignored in Debug Mode.(1) MPRV in mstatus takes effect in Debug Mode.
3:3,R,"When set, there is a Non-Maskable-Interrupt (NMI) pending for the hart."
2:2,RW,"When set and not in Debug Mode, the hart will only execute a single instruction and then enter Debug Mode."
1:1,RW,"When set and not in Debug Mode, the hart will only execute a single instruction and then enter Debug Mode."


CSR : ,CSR_DPC
CSR Address : ,0x7b1
Reset Value : , 
Bit#,Mode,Description
31:0,RW,update with the virtual address of the next instruction to be executed


CSR : ,CSR_DSCRATCH0
CSR Address : ,0x7b2
Reset Value : , 
Bit#,Mode,Description
31:0,RW,Lower 32-bits of 64-bit machine cycle counter


CSR : ,CSR_DSCRATCH1
CSR Address : ,0x7b3
Reset Value : , 
Bit#,Mode,Description
31:0,RW,Optional scratch register


CSR : ,CSR_SSTATUS
CSR Address : ,0x100
Reset Value : , 
Bit#,Mode,Description
31:31,RW,SD
30:20,WPRI,reserved for future use 
19:19,RW,The MXR bit modifies the privilege with which loads access virtual memory
18:18,RW,The SUM bit modifies the privilege with which S-mode loads and stores access virtual memory.
17:17,WPRI,reserved for future use 
16:15,RW,
14:13,RW,
12:9,WPRI,reserved for future use 
8:8,RW,SPP bit indicates the privilege level at which a hart was executing before entering supervisor mode.
7:6,WPRI,reserved for future use
5:5,RW,The SPIE bit indicates whether supervisor interrupts were enabled prior to trappin into supervisor mode.
4:4,RW,"When a URET instruction is executed, UIE is set to UPIE, and UPIE is set to 1. "
3:2,WPRI,reserved for future use
1:1,RW,The SIE bit enables or disables all interrupts in supervisor mode. 
0:0,RW,The UIE bit enables or disables user-mode interrupts.


CSR : ,CSR_SIE
CSR Address : ,0x104
